Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2022-09-01
Data Final: 2023-10-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-02-26;.2;22.1;19.258333;17;80.416667;8.6;2.2125;
2023-02-27;.8;25.9;18.520833;12.5;78.208333;16.2;3.629167;
2023-02-28;0;25.3;19.591667;15.7;80.916667;9;4.233333;
2023-03-01;0;26.7;20.3625;17.3;80.875;10;3.591667;
2023-03-02;3.6;26;18.891667;14.6;87.625;11.1;2.379167;
2023-03-03;4.2;25.3;20.03913;17.6;88.26087;9;3.465217;
2023-03-04;5.6;25;20.316667;18.6;87.166667;11.7;4.108333;
2023-03-05;3;24.3;19.55;17.5;87.583333;10.2;2.783333;
2023-03-06;7.8;21.5;17.969565;15.9;92.130435;9.2;1.852174;
2023-03-07;6.6;26.4;20.1625;16.4;84.875;9.4;2.104167;
2023-03-08;3.4;28.1;21.843478;17;78.434783;9.9;3.13913;
2023-03-09;46.8;26.5;20.075;17;83;7.8;2.291667;
2023-03-10;.2;26.9;20.245833;15.9;82.708333;9.2;3.1625;
2023-03-11;1.6;26.4;20.604167;16.7;83.875;14.7;3.675;
2023-03-12;4.6;24.8;19.791304;16.5;84.652174;12.4;5.217391;
2023-03-13;0;23.9;20.075;17.7;85.541667;12.8;5.583333;
2023-03-14;0;24.1;19.979167;16.9;84.291667;11.7;5.270833;
2023-03-15;0;25.7;20.790909;17.6;79.454545;11.4;5.227273;
2023-03-16;0;27.2;20.43913;15.1;78.173913;10;4.647826;
2023-03-17;0;27.8;20.908333;16;79.25;9.1;4.095833;
2023-03-18;null;28.5;null;15.9;65.75;7.6;2.515;
2023-03-19;0;28.7;21.1875;13.8;65.625;7.7;2.520833;
2023-03-20;0;29.3;23.5375;18;53.291667;9.2;2.041667;
2023-03-21;0;29.3;22.370833;16.4;73.708333;10;2.479167;
2023-03-22;null;28;null;16.3;81.666667;11.5;3.671429;
2023-03-23;.4;28.5;20.991667;17.3;84.791667;13;3.191667;
2023-03-24;11.8;28.9;21.729167;16.3;79.625;8.6;2.058333;
2023-03-25;0;27.9;20.654167;17.3;86.125;8.8;3.45;
2023-03-26;18.4;24.1;19.520833;17.7;84.708333;10.3;2.666667;
2023-03-27;.2;24.1;17.2875;11.6;75.208333;8.3;3.079167;
2023-03-28;0;26.5;19.379167;15.1;77.916667;12;4.116667;
2023-03-29;0;27.5;19.5375;17.4;87.708333;19.9;3.616667;
2023-03-30;32.4;22.9;18.320833;15.1;85.625;10.4;2.520833;
2023-03-31;0;25.6;20.279167;15.1;78.041667;9.4;2.125;
2023-04-01;.2;22.9;18.420833;15.2;73.083333;8.8;2.770833;
2023-04-02;0;25.7;15.2125;6.9;66.375;7.8;3.354167;
2023-04-03;0;26;18.65;11.7;71.125;12;3.625;
2023-04-04;0;26.3;19.7375;13.1;67.458333;8.2;2.1875;
2023-04-05;0;25.6;18.658333;15.4;80.958333;8.3;3.691667;
2023-04-06;11.2;17.2;15.829167;15.7;96;9.2;3.575;
2023-04-07;39.2;18.3;15.55;13.9;93.25;10.7;4.8625;
2023-04-08;0;22.4;17.154167;14.8;88.291667;8.2;4.075;
2023-04-09;0;24.1;18.433333;15.1;81.75;9.4;4.220833;
2023-04-10;0;24.7;18.629167;14.6;80.25;8.2;3.133333;
2023-04-11;0;26.3;19.070833;13.8;73.125;8.7;2.920833;
2023-04-12;0;26.7;19.991667;13.3;67.208333;8.6;2.204167;
2023-04-13;0;25.4;20.129167;13.2;64.666667;6.3;1.570833;
2023-04-14;2.4;20.3;17.2625;15.8;89.875;9.8;4.116667;
2023-04-15;10.4;22.5;17.4875;15.4;85.041667;11;4.941667;
2023-04-16;0;22.1;17.391667;15.6;88.583333;8.6;3.816667;
2023-04-17;15.6;21.9;17.633333;16;93.583333;6.8;1.8;
2023-04-18;8.4;20.7;16.658333;13.9;80.583333;8.5;2.3625;
2023-04-19;.2;15.4;11.733333;9.1;72.958333;17.4;4.383333;
2023-04-20;0;16.6;9.779167;5.1;77.791667;12.1;2.3;
2023-04-21;0;21.9;12.691667;4.8;73.125;10.5;4.35;
2023-04-22;.2;22.2;14.554167;8.6;80.416667;9.4;3.908333;
2023-04-23;0;22.9;15.5125;11.1;79.958333;10.9;4.7;
2023-04-24;0;24;16.795833;12.2;76.708333;10.7;4.25;
2023-04-25;0;22.5;16.4625;12.6;78.541667;11.2;4.245833;
2023-04-26;9;20.8;16.145833;14.1;86.875;11.8;3.0625;
2023-04-27;1.4;18.5;14.825;12.6;84.541667;6.1;1.5625;
2023-04-28;.2;21.7;14.15;8.3;81.333333;7.5;2.9875;
2023-04-29;0;22.3;15.6375;10.6;78.125;10.4;3.858333;
2023-04-30;0;22.3;16.233333;12;79.333333;10;4.333333;
2023-05-01;0;24.8;17.279167;8.8;77.125;7.5;2.520833;
2023-05-02;0;25.3;19.0125;13.8;76.291667;8.4;2.916667;
2023-05-03;null;22.7;null;16;93.6;7.3;null;
2023-05-04;null;18.3;16.958333;17.1;96.5;7.4;1.666667;
2023-05-05;40;21.8;17.673913;15;91.565217;9.7;3.643478;
2023-05-06;0;26.2;20.475;16.8;83.666667;10;3.483333;
2023-05-07;0;25.3;19.716667;16.5;81.791667;10.5;3.75;
2023-05-08;27;19.2;16.425;15.3;95.5;9.6;1.991667;
2023-05-09;1.6;19.5;14.491667;11.3;78.958333;6.4;1.470833;
2023-05-10;0;18.7;11.841667;5.2;77.583333;8.2;2.225;
2023-05-11;0;15.2;10.595833;7.2;80.25;6.6;1.820833;
2023-05-12;0;16.6;10.021739;4;74.695652;6.5;2.982609;
2023-05-13;0;17.4;10.708333;3.6;75.875;5.8;2.25;
2023-05-14;0;20.1;13.908333;9.1;61.041667;6.5;1.554167;
2023-05-15;0;22.2;15.958333;10.1;52.416667;7.8;1.6875;
2023-05-16;0;23.1;15.379167;9.4;61.75;5;2.166667;
2023-05-17;0;20.2;12.658333;6.7;82.083333;6.8;3.429167;
2023-05-18;.2;24.4;14.066667;7.8;74.208333;9.8;3.279167;
2023-05-19;.2;25.1;14.758333;6.1;70.458333;6.9;2.8;
2023-05-20;0;22.2;12.883333;4.6;68.916667;5.6;2.55;
2023-05-21;0;22.2;15.033333;8;70.25;8;3.166667;
2023-05-22;0;21.6;15.541667;11.9;75.666667;10.3;3.283333;
2023-05-23;0;24.6;16.491667;10.2;79.625;5.7;2.354167;
2023-05-24;0;23.5;16.720833;10.7;73.75;10;4.4375;
2023-05-25;0;22.9;16.7125;12.1;75.666667;11.1;5.15;
2023-05-26;0;23.1;17.079167;13.1;78.416667;13.1;4.808333;
2023-05-27;7.2;18.3;16.004167;14.4;90.083333;11.3;2.8875;
2023-05-28;4.6;15.8;13.604167;12.9;92.916667;8;3.316667;
2023-05-29;0;15.4;12.8375;10.9;90.958333;8.2;3.845833;
2023-05-30;0;15.6;12.754167;10;86.958333;9.1;4.404167;
2023-05-31;0;20.4;13.895833;9.2;80.875;7.2;2.1875;
2023-06-01;.2;21.2;14.720833;7.6;73.166667;5.7;1.945833;
2023-06-02;0;22.1;14.016667;6.4;69.416667;9.7;3.829167;
2023-06-03;0;21.7;13.833333;6.6;77.625;7.8;3.375;
2023-06-04;.2;21.3;14.825;6.9;79.541667;7;2.0125;
2023-06-05;0;20;15.3125;10.1;77.083333;7.1;1.7875;
2023-06-06;0;20.9;14.204167;8.8;80.291667;10;4.254167;
2023-06-07;0;21.3;14.020833;7.9;80.458333;7.3;2.520833;
2023-06-08;.2;23.2;15.9375;9.3;74.291667;6.7;2.433333;
2023-06-09;0;23;16.541667;10.1;69.75;8.7;2.245833;
2023-06-10;0;24.4;18.283333;13.7;61.125;12.6;2.820833;
2023-06-11;0;19.6;15.170833;15.3;83.875;10.6;2.1375;
2023-06-12;10.2;11.2;8.829167;7.4;94.5;5.7;2.245833;
2023-06-13;0;9.7;7.066667;5.6;96.333333;9.3;4.258333;
2023-06-14;8.4;11.4;9.145833;7;96.333333;12;4.6375;
2023-06-15;9.4;13.2;11.095833;8.8;94.583333;14.6;5.725;
2023-06-16;13.4;11.7;9.725;8.9;96.5;11.9;4.016667;
2023-06-17;4.2;11.6;8.891667;7.9;87.291667;8;1.891667;
2023-06-18;0;12.7;7.070833;3.4;75.666667;5.1;1.420833;
2023-06-19;0;17.5;7.8375;1;82;7.6;3.958333;
2023-06-20;0;18.9;10.295833;4.3;78.291667;9.7;3.533333;
2023-06-21;.2;15.2;11.870833;7;87.083333;7.5;3.3375;
2023-06-22;3.4;21.4;15.670833;10.1;87.541667;10.5;2.354167;
2023-06-23;62.4;15;13.65;12.9;95.416667;18.4;3.2625;
2023-06-24;54;23.9;17.7875;12.8;74.375;8.6;1.8875;
2023-06-25;.2;23.6;18.720833;14.2;70.208333;8.1;2.154167;
2023-06-26;0;22.7;18.095833;14.2;66.583333;6.3;1.9625;
2023-06-27;0;22.7;16.8125;9.7;67.125;4.6;1.375;
2023-06-28;0;21.1;15.583333;11;75.75;13.4;2.716667;
2023-06-29;2.2;18.4;13.266667;10.3;88.541667;7.1;2.495833;
2023-06-30;0;15.9;13.579167;10.5;92.583333;8.3;2.470833;
2023-07-01;4.4;17.6;14.75;12.6;93.833333;5.5;1.245833;
2023-07-02;.2;20.9;13.641667;7.3;90.333333;6.7;2.183333;
2023-07-03;0;17.7;13.666667;9.3;84.583333;9.6;4.379167;
2023-07-04;.2;17;11.5875;8.1;84.416667;9;4.104167;
2023-07-05;.2;19.7;12.225;4.4;78.125;7.3;2.595833;
2023-07-06;0;22.7;15.891667;8.9;67.958333;6.4;2.366667;
2023-07-07;0;22.3;16.475;12.3;74.458333;6.3;2.533333;
2023-07-08;47.6;19.1;15.170833;12.6;93.708333;11.4;2.7;
2023-07-09;8.6;18.4;14.758333;12.9;93.708333;7.8;3.991667;
2023-07-10;0;17;15.0875;12.8;96.5;8.8;2.416667;
2023-07-11;14.8;16.5;15.683333;13.8;97.666667;7.5;2.154167;
2023-07-12;56.6;19.6;16.2125;14.4;91.708333;14.5;4.225;
2023-07-13;19.8;15;9.420833;6.7;93.416667;19.6;6.008333;
2023-07-14;4.4;8.3;5.3;3.3;90.541667;10.1;1.979167;
2023-07-15;.4;15.1;8.0375;1.5;80.5;9.8;3.033333;
2023-07-16;0;16.9;11.654167;7.1;72.333333;6.3;1.770833;
2023-07-17;0;15.1;11.9125;9.2;79.875;6;1.3375;
2023-07-18;0;11.6;9.3625;7.2;93.541667;7.8;2.979167;
2023-07-19;0;13;9.295833;6.7;88.166667;12.6;6.441667;
2023-07-20;0;17.5;12.225;8.5;85;13.3;6.829167;
2023-07-21;0;21.6;14.5375;11.5;86.458333;12.5;5.316667;
2023-07-22;0;20.5;15.479167;11.9;83.875;12.3;5.9;
2023-07-23;0;23.7;16.579167;9.6;78.125;9.3;2.454167;
2023-07-24;.2;22.5;18.4125;14.6;71.208333;6.1;1.875;
2023-07-25;0;23.9;18.708333;15;59.583333;6.7;2.279167;
2023-07-26;0;23.4;18.6;15.3;66.458333;11.1;2.983333;
2023-07-27;15;20.1;15.5875;11.9;91.208333;21.2;1.529167;
2023-07-28;.4;16.3;12.85;13.2;94.083333;7.4;2.258333;
2023-07-29;9.2;14.1;7.754167;2.8;89.208333;7.4;3.425;
2023-07-30;.2;19.9;12.108333;3.7;83.416667;8.5;3.066667;
2023-07-31;0;20.7;13.329167;6.4;85.791667;6.7;1.966667;
2023-08-01;.2;22.5;15.3625;7.9;79.041667;7.1;2.320833;
2023-08-02;0;23.4;17.716667;10.8;65.625;7.1;1.920833;
2023-08-03;0;22.9;17.8375;13.2;69.958333;6.1;1.829167;
2023-08-04;0;23.3;17.370833;10;72.375;10.3;2.8625;
2023-08-05;0;25.8;19.808333;12.1;62.416667;5.1;1.466667;
2023-08-06;0;25;18.004167;10.5;64.833333;9.6;3.454167;
2023-08-07;0;23.6;16.825;16.4;74.583333;11.9;1.8375;
2023-08-08;6.6;15.4;12.1625;10.7;89.541667;15.5;6.645833;
2023-08-09;4;15.9;11.691667;9.3;90.083333;16.8;6.929167;
2023-08-10;5.4;19.3;15.029167;10.6;91;7.9;4.008333;
2023-08-11;43;17.4;15.170833;12.3;89;14.7;3.883333;
2023-08-12;17.6;16.6;13.133333;13;95.291667;12.9;2.0125;
2023-08-13;7.2;17.3;8.791667;1.7;71.708333;6.2;1.895833;
